Age,Income,Gender,Registered,City
34.96714153011233,28769.438869243786,Male,1.0,New York
28.617356988288154,43690.320158519615,Female,0.0,Paris
36.47688538100692,44859.282252098456,MALE,1.0,Tokyo
45.23029856408026,37965.84096167571,FEMALE,0.0,Berlin
27.65846625276664,47580.71432500986,male,1.0,New York
27.658630430508193,56060.762852218075,female,0.0,Paris
45.79212815507391,78292.78851815795,femle,1.0,Tokyo
37.67434729152909,52618.66719247759,Femael,0.0,Berlin
25.305256140650478,53863.25586084147,,1.0,New York
35.42560043585965,48883.311263507494,,0.0,Paris
25.365823071875376,21218.431770514377,Male,1.0,Tokyo
25.34270246429743,49602.291868261746,Female,0.0,Berlin
32.41962271566034,50903.4531491154,MALE,1.0,New York
10.86719755342202,86948.6316872793,FEMALE,0.0,Paris
12.750821674869673,47114.58552828316,male,1.0,Tokyo
24.377124707590273,54523.210135004185,female,0.0,Berlin
19.87168879665576,49479.32345442135,femle,1.0,New York
33.142473325952736,32469.82943570702,Femael,0.0,Paris
20.91975924478789,67142.34221772531,,1.0,Tokyo
15.876962986647085,61278.99549030161,,0.0,Berlin
44.65648768921554,61865.47920564571,Male,1.0,New York
27.742236995134643,36359.18817807891,Female,0.0,Paris
30.67528204687924,71041.91466404148,MALE,1.0,Tokyo
15.752518137865433,28972.234058115788,FEMALE,0.0,Berlin
24.556172754748175,58802.85640700405,male,1.0,New York
31.10922589709866,82856.83438714968,female,0.0,Paris
18.490064225776973,35141.955123039676,femle,1.0,Tokyo
33.75698018345672,41505.53405595842,Femael,0.0,Berlin
23.99361310081195,51494.77047631462,,1.0,New York
27.083062502067232,42447.86518825701,,0.0,Paris
23.98293387770603,26740.04853400801,Male,1.0,Tokyo
48.522781845089376,51028.44462209041,Female,0.0,Berlin
29.865027752620662,34065.44429410843,MALE,1.0,New York
19.422890710440996,57103.88645952773,FEMALE,0.0,Paris
38.225449121031886,36208.63648649295,male,1.0,Tokyo
17.791563500289776,73249.01607526309,female,0.0,Berlin
32.08863595004755,38251.20061495644,femle,1.0,New York
10.403298761202244,45169.07725691487,Femael,0.0,Paris
16.718139511015693,62202.758260545044,,1.0,Tokyo
31.968612358691235,31537.03525349067,,0.0,Berlin
37.38466579995411,53411.899019061944,Male,1.0,New York
31.713682811899705,69607.14131423642,Female,0.0,Paris
28.843517176117594,25887.75148158159,MALE,1.0,Tokyo
26.988963044107113,52769.507877984564,FEMALE,0.0,Berlin
15.214780096325725,53898.24191372635,male,1.0,New York
22.801557916052914,61727.34307665966,female,0.0,Paris
25.393612290402125,31445.73933682877,femle,1.0,Tokyo
40.57122226218915,30193.150803735854,Femael,0.0,Berlin
33.43618289568462,57829.12348425346,,1.0,New York
12.36959844637266,54454.77009849779,,0.0,Paris
33.24083969394795,53757.39275518815,Male,1.0,Tokyo
26.149177195836835,55196.72314245463,Female,0.0,Berlin
23.230779996940413,39799.62917632264,MALE,1.0,New York
36.11676288840868,53483.80545741505,FEMALE,0.0,Paris
40.30999522495951,54396.08709948022,male,1.0,Tokyo
39.31280119116199,39284.72872960448,female,0.0,Berlin
21.607824767773614,77986.61766717135,femle,1.0,New York
26.907876241487855,57107.49381367681,Femael,0.0,Paris
33.31263431403564,32130.44754196027,,1.0,Tokyo
39.75545127122359,59848.30412950744,,0.0,Berlin
25.2082576215471,35379.77494659018,Male,1.0,New York
28.143410233361827,61806.26905613678,Female,0.0,Paris
18.936650259939718,67378.93368511106,MALE,1.0,Tokyo
18.037933759193294,37689.76522472434,FEMALE,0.0,Berlin
38.125258223941984,64450.64193866483,male,1.0,New York
43.56240028570823,56191.71390404747,female,0.0,Paris
29.27989878419666,62330.90239991735,femle,1.0,Tokyo
40.03532897892024,78451.89473980921,Femael,0.0,Berlin
33.61636025047634,46319.17825995694,,1.0,New York
23.548802453948756,38693.95753463766,,0.0,Paris
33.61395605508414,36657.28355561715,Male,1.0,Tokyo
45.38036566465969,37762.845725518426,Female,0.0,Berlin
29.641739608900483,48843.47435878844,MALE,1.0,New York
45.64643655814006,55117.279622249654,FEMALE,0.0,Paris
3.8025489591025554,54150.36198995029,male,1.0,Tokyo
38.21902504375224,62407.74873554036,female,0.0,Berlin
30.87047068238171,50195.02837816861,femle,1.0,New York
27.009926495341325,71803.01115735975,Femael,0.0,Paris
30.917607765355022,46030.147501430656,,1.0,Tokyo
10.124310853991073,90802.53749884429,,0.0,Berlin
27.80328112162488,59385.01021647509,Male,1.0,New York
33.57112571511746,37142.63665375576,Female,0.0,Paris
44.77894044741516,33936.612529083315,MALE,1.0,Tokyo
24.817297817263526,57237.08622864778,FEMALE,0.0,Berlin
21.915063971068122,46648.05822011224,male,1.0,New York
24.982429564154636,60710.007411381375,female,0.0,Paris
39.15402117702074,57098.56436860317,femle,1.0,Tokyo
33.287511096596845,48907.56631014691,Femael,0.0,Berlin
24.702397962329613,37298.094228973925,,1.0,New York
35.13267433113356,27277.291629712032,,0.0,Paris
30.970775493480403,43302.275718994686,Male,1.0,Tokyo
39.68644990532889,62845.981914852084,Female,0.0,Berlin
22.979469061226474,53211.40616195306,MALE,1.0,New York
26.723378534022316,31313.91831932018,FEMALE,0.0,Paris
26.078918468678424,52597.71388776773,male,1.0,Tokyo
15.364850518678814,55779.76069593255,female,0.0,Berlin
32.96120277064576,36742.138456983004,femle,1.0,New York
32.610552721798896,52305.87658918292,Femael,0.0,Paris
30.051134566424608,50873.13077669,,1.0,Tokyo
27.654128666248532,32855.44553254065,,0.0,Berlin
